Pin	Pin name	Signal name	STM32 pin	Function
1	AVDD	VDDA	-	Analog VDD
2	D7	I/O	PG12	I/O
3	AGND	AGND	-	Analog GND
4	D6	TIMER_A_PWM1	PE9	TIM1_CH1
5	GND	GND	-	GND
6	D5	TIMER_A_PWM2	PE11	TIM1_CH2
7	A6	ADC_A_IN	PF4	ADC3_INP9
8	D4	I/O	PE14	I/O
9	A7	ADC_B_IN	PF5	ADC3_INP4
10	D3	TIMER_A_PWM3	PE13	TIM1_CH3
11	A8	ADC_C_IN	PF6	ADC3_INP8
12	D2	I/O	PG14	I/O
13	D26	QSPI_CS	PG6	QSPI1_NCS
14	D1	USART_A_TX	PB6	LPUART1
15	D27	QSPI_CLK	PB2	QSPI1_CLK
16	D0	USART_A_RX	PB7	LPUART1
17	GND	GND	-	GND
18	D42	TIMER_A_PWM1N	PE8	TIM1_CH1N
19	D28	QSPI_BK1_IO3	PD13	QSPI1_IO
20	D41	TIMER_A_ETR	PE7	TIM1_ETR
21	D29	QSPI_BK1_IO1	PD12	QSPI1_IO
22	GND	GND	-	GND
23	D30	QSPI_BK1_IO0	PD11	QSPI1_IO
24	D40	TIMER_A_PWM2N	PE10	TIM1_CH2N
25	D31	QSPI_BK1_IO2	PE2(1)	QSPI1_IO
26	D39	TIMER_A_PWM3N	PE12	TIM1_CH3N
27	GND	-	-	-
28	D38	TIMER_A_BKIN2	PE6	TIM1_BKIN2
29	D32	TIM_C_PWM1	PA0	TIM2_CH1
30	D37	TIMER_A_BKIN1	PE15	TIM1_BKIN1
31	D33	TIM_D_PWM1	PB0	TIM3_CH3
32	D36	TIMER_C_PWM2	PB10	TIM2_CH3
33	D34	TIM_B_ETR	PE0	TIM4_ETR
34	D35	TIMER_C_PWM3	PB11	TIM2_CH4
